date,open,high,low,close,volume,Adj Close
2016-08-03,3179.684,3197.157,3173.535,3193.507,72864104.0,3193.507
2016-08-02,3173.757,3189.052,3165.542,3189.052,62167640.0,3189.052
2016-08-01,3196.425,3199.975,3156.748,3176.809,87003496.0,3176.809
2016-07-29,3217.192,3225.418,3198.683,3203.93,88044840.0,3203.93
2016-07-28,3204.464,3235.781,3195.269,3221.136,112779968.0,3221.136
2016-07-27,3270.083,3276.511,3157.409,3218.243,160188672.0,3218.243
2016-07-26,3228.234,3269.745,3228.007,3269.588,81051088.0,3269.588
2016-07-25,3220.165,3243.79,3218.141,3230.885,70203184.0,3230.885
2016-07-22,3251.242,3253.769,3220.893,3225.162,86029128.0,3225.162
2016-07-21,3238.336,3271.373,3238.303,3252.522,86004824.0,3252.522
2016-07-20,3246.862,3254.507,3232.256,3237.605,72701256.0,3237.605
2016-07-19,3260.434,3264.73,3226.198,3248.234,88886864.0,3248.234
2016-07-18,3269.707,3281.637,3251.765,3262.022,110312520.0,3262.022
2016-07-15,3278.835,3285.026,3265.29,3276.277,102665024.0,3276.277
2016-07-14,3277.481,3281.95,3259.065,3276.763,107525800.0,3276.763
2016-07-13,3274.02,3300.991,3271.775,3282.868,175196096.0,3282.868
2016-07-12,3201.906,3273.473,3200.303,3273.182,172534224.0,3273.182
2016-07-11,3199.038,3235.962,3197.625,3203.329,138529504.0,3203.329
2016-07-08,3199.754,3204.928,3183.959,3192.28,89734856.0,3192.28
2016-07-07,3206.55,3220.54,3190.123,3209.954,118595200.0,3209.954
2016-07-06,3197.624,3217.515,3183.451,3216.803,124897456.0,3216.803
2016-07-05,3199.157,3216.702,3197.995,3207.382,130226896.0,3207.382
2016-07-04,3136.385,3210.601,3134.023,3204.696,133310528.0,3204.696
2016-07-01,3156.932,3170.258,3148.294,3154.2,71746280.0,3154.2
2016-06-30,3152.833,3163.72,3148.198,3153.921,79692616.0,3153.921
2016-06-29,3142.484,3158.076,3139.132,3151.389,103723664.0,3151.389
2016-06-28,3107.397,3139.43,3099.701,3136.401,92024640.0,3136.401
2016-06-27,3065.128,3120.64,3064.966,3120.544,83267256.0,3120.544
2016-06-24,3110.646,3130.539,3033.965,3077.155,104792208.0,3077.155
2016-06-23,3129.72,3129.72,3102.481,3117.316,67751736.0,3117.316
2016-06-22,3100.449,3134.06,3096.991,3133.961,66487112.0,3133.961
2016-06-21,3124.898,3155.492,3097.94,3106.317,87965344.0,3106.317
2016-06-20,3114.906,3118.725,3089.712,3112.674,63587140.0,3112.674
2016-06-17,3096.09,3131.048,3096.09,3110.357,85402984.0,3110.357
2016-06-16,3104.361,3112.475,3089.477,3094.674,82974704.0,3094.674
2016-06-15,3043.957,3128.673,3042.232,3116.368,87393256.0,3116.368
2016-06-14,3058.443,3078.749,3055.655,3075.983,66279456.0,3075.983
2016-06-13,3134.045,3145.605,3065.767,3066.341,92975944.0,3066.341
2016-06-08,3171.813,3174.971,3148.351,3163.986,76291776.0,3163.986
2016-06-07,3182.437,3186.616,3168.179,3177.053,68928312.0,3177.053
2016-06-06,3192.779,3197.22,3168.554,3178.788,76693752.0,3178.788
2016-06-03,3172.946,3201.749,3162.088,3189.325,101491784.0,3189.325
2016-06-02,3158.025,3168.824,3151.065,3167.099,86003424.0,3167.099
2016-06-01,3172.961,3181.792,3159.817,3160.547,113148480.0,3160.547
2016-05-31,3068.596,3170.926,3068.596,3169.559,138863104.0,3169.559
2016-05-30,3056.313,3075.261,3037.664,3066.709,63098580.0,3066.709
2016-05-27,3059.732,3073.756,3052.179,3062.499,60468752.0,3062.499
2016-05-26,3056.6,3072.524,3027.444,3064.211,60392980.0,3064.211
2016-05-25,3079.748,3089.102,3054.869,3059.225,56652804.0,3059.225
2016-05-24,3083.244,3083.257,3052.59,3063.555,58734384.0,3063.555
2016-05-23,3078.515,3098.478,3076.503,3087.222,59697216.0,3087.222
2016-05-20,3047.777,3078.531,3041.516,3078.218,56080840.0,3078.218
2016-05-19,3060.342,3086.977,3058.145,3062.5,60444168.0,3062.5
2016-05-18,3071.529,3072.612,3039.461,3068.035,82715368.0,3068.035
2016-05-17,3095.522,3105.201,3073.459,3086.024,65278124.0,3086.024
2016-05-16,3064.526,3095.555,3053.661,3095.308,59461856.0,3095.308
2016-05-13,3081.679,3103.095,3064.691,3074.935,62629756.0,3074.935
2016-05-12,3059.383,3095.348,3035.022,3090.137,78765728.0,3090.137
2016-05-11,3080.636,3102.876,3063.088,3082.808,81794256.0,3082.808
2016-05-10,3055.211,3084.724,3055.183,3069.112,68849936.0,3069.112
2016-05-09,3115.43,3115.43,3055.005,3065.615,99230480.0,3065.615
2016-05-06,3213.136,3216.893,3130.147,3130.354,108680240.0,3130.354
2016-05-05,3204.169,3217.282,3196.566,3213.92,74733680.0,3213.92
2016-05-04,3203.465,3222.882,3198.292,3209.461,90862408.0,3209.461
2016-05-03,3159.823,3218.485,3151.405,3213.54,98164832.0,3213.54
2016-04-29,3153.537,3171.289,3149.397,3156.745,58029776.0,3156.745
2016-04-28,3169.333,3174.766,3135.643,3160.581,69870656.0,3160.581
2016-04-27,3181.931,3188.826,3162.691,3165.916,60004148.0,3165.916
2016-04-26,3159.771,3181.095,3150.404,3179.161,59020736.0,3179.161
2016-04-25,3164.738,3172.269,3137.113,3162.033,67519352.0,3162.033
2016-04-22,3142.561,3175.38,3137.993,3174.901,77078496.0,3174.901
2016-04-21,3160.796,3198.557,3150.94,3160.603,104752648.0,3160.603
2016-04-20,3244.142,3248.422,3107.369,3181.026,162207856.0,3181.026
2016-04-19,3243.971,3250.725,3221.577,3238.303,80871440.0,3238.303
2016-04-18,3252.671,3252.671,3221.662,3228.453,97090072.0,3228.453
2016-04-15,3279.857,3282.985,3261.73,3272.205,99807528.0,3272.205
2016-04-14,3277.098,3286.072,3252.05,3275.832,113157328.0,3275.832
2016-04-13,3237.858,3296.523,3237.858,3261.383,195613872.0,3261.383
