datetime,000402,cash,commission,total,returns,equity_curve,drawdown
2012-11-19,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-20,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-21,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-22,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-23,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-26,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-27,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-28,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-29,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-11-30,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-03,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-04,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-05,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-06,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-07,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-10,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-11,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-12,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-13,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-14,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-17,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-18,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-19,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-20,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-21,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-24,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-25,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-26,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-27,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-28,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2012-12-31,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-04,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-07,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-08,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-09,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-10,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-11,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-14,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-15,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-16,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-17,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-18,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-21,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-22,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-23,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-24,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-25,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-28,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-29,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-30,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-01-31,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-01,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-04,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-05,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-06,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-07,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-08,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-18,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-19,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-20,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-21,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-22,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-25,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-26,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-27,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-02-28,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-01,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-04,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-05,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-06,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-07,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-08,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-11,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-12,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-13,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-14,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-15,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-18,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-19,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-20,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-21,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-22,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-25,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-26,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-27,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-28,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-03-29,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-01,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-02,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-03,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-08,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-09,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-10,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-11,0.0,99941.4,15.6,99941.4,0.0,0.999414,0.015165
2013-04-12,534.0,99404.1,16.9,99938.1,-3.30193493387e-05,0.999381,0.015198
2013-04-15,517.0,99404.1,16.9,99921.1,-0.000170105295178,0.999211,0.015368
2013-04-16,527.0,99404.1,16.9,99931.1,0.000100078962301,0.999311,0.015268
2013-04-17,526.0,99404.1,16.9,99930.1,-1.00068947505e-05,0.999301,0.015278
2013-04-18,526.0,99404.1,16.9,99930.1,0.0,0.999301,0.015278
2013-04-19,535.0,99404.1,16.9,99939.1,9.00629540048e-05,0.999391,0.015188
2013-04-22,533.0,99404.1,16.9,99937.1,-2.00121874221e-05,0.999371,0.015208
2013-04-23,517.0,99404.1,16.9,99921.1,-0.000160100703342,0.999211,0.015368
2013-04-24,521.0,99404.1,16.9,99925.1,4.00315849205e-05,0.999251,0.015328
2013-04-25,515.0,99404.1,16.9,99919.1,-6.00449736853e-05,0.999191,0.015388
2013-04-26,514.0,99404.1,16.9,99918.1,-1.00080965502e-05,0.999181,0.015398
2013-05-02,516.0,99404.1,16.9,99920.1,2.00163934263e-05,0.999201,0.015378
2013-05-03,521.0,99404.1,16.9,99925.1,5.00399819456e-05,0.999251,0.015328
2013-05-06,526.0,99404.1,16.9,99930.1,5.0037478071e-05,0.999301,0.015278
2013-05-07,525.0,99404.1,16.9,99929.1,-1.00069948894e-05,0.999291,0.015288
2013-05-08,528.0,99404.1,16.9,99932.1,3.00212850912e-05,0.999321,0.015258
2013-05-09,522.0,99404.1,16.9,99926.1,-6.00407676813e-05,0.999261,0.015318
2013-05-10,525.0,99404.1,16.9,99929.1,3.00221863958e-05,0.999291,0.015288
2013-05-13,529.0,99404.1,16.9,99933.1,4.00283801214e-05,0.999331,0.015248
2013-05-14,525.0,99404.1,16.9,99929.1,-4.00267779144e-05,0.999291,0.015288
2013-05-15,527.0,99404.1,16.9,99931.1,2.00141900608e-05,0.999311,0.015268
2013-05-16,537.0,99404.1,16.9,99941.1,0.000100068947505,0.999411,0.015168
2013-05-17,552.0,99404.1,16.9,99956.1,0.000150088402069,0.999561,0.015018
2013-05-20,550.0,99404.1,16.9,99954.1,-2.00087838561e-05,0.999541,0.015038
2013-05-21,551.0,99404.1,16.9,99955.1,1.00045921079e-05,0.999551,0.015028
2013-05-22,552.0,99404.1,16.9,99956.1,1.00044920168e-05,0.999561,0.015018
2013-05-23,544.0,99404.1,16.9,99948.1,-8.00351354244e-05,0.999481,0.015098
2013-05-24,545.0,99404.1,16.9,99949.1,1.0005192695e-05,0.999491,0.015088
2013-05-27,545.0,99404.1,16.9,99949.1,0.0,0.999491,0.015088
2013-05-28,557.0,99404.1,16.9,99961.1,0.000120061111106,0.999611,0.014968
2013-05-29,560.0,99404.1,16.9,99964.1,3.00116745413e-05,0.999641,0.014938
2013-05-30,561.0,99404.1,16.9,99965.1,1.00035912893e-05,0.999651,0.014928
2013-05-31,554.0,99404.1,16.9,99958.1,-7.0024438529e-05,0.999581,0.014998
2013-06-03,557.0,99404.1,16.9,99961.1,3.0012575269e-05,0.999611,0.014968
2013-06-04,549.0,99404.1,16.9,99953.1,-8.00311321104e-05,0.999531,0.015048
2013-06-05,553.0,99404.1,16.9,99957.1,4.00187688026e-05,0.999571,0.015008
2013-06-06,543.0,99404.1,16.9,99947.1,-0.000100042918412,0.999471,0.015108
2013-06-07,534.0,99404.1,16.9,99938.1,-9.0047635199e-05,0.999381,0.015198
2013-06-13,524.0,99404.1,16.9,99928.1,-0.00010006193834,0.999281,0.015298
2013-06-14,521.0,99404.1,16.9,99925.1,-3.002158552e-05,0.999251,0.015328
2013-06-17,521.0,99404.1,16.9,99925.1,0.0,0.999251,0.015328
2013-06-18,519.0,99404.1,16.9,99923.1,-2.00149912284e-05,0.999231,0.015348
2013-06-19,510.0,99404.1,16.9,99914.1,-9.00692632635e-05,0.999141,0.015438
2013-06-20,0.0,99912.8,18.2,99912.8,-1.30111766007e-05,0.999128,0.015451
2013-06-21,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-06-24,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-06-25,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-06-26,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-06-27,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-06-28,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-01,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-02,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-03,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-04,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-05,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-08,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-09,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-10,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-11,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-12,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-15,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-16,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-17,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-18,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-19,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-22,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-23,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-24,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-25,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-26,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-29,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-30,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-07-31,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-01,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-02,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-05,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-06,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-07,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-08,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-09,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-12,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-13,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-14,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-15,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-16,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-19,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-20,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-21,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-22,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-23,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-26,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-27,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-28,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-29,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-08-30,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-02,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-03,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-04,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-05,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-06,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-09,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-10,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-11,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-12,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-13,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-16,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
