datetime,000300.SH,000300.SH_position,000300.SH_price,cash,commission,order,total,returns,equity_curve,000300.SH_return,drawdown
2008-07-31,233943.538597,83.3960874933,2805.21,0.166792174976,0.0,BUY,233943.705389,-0.0274478207117,2.33943705389,-0.0274478397437,1.33143846992
2008-08-01,236910.77139,83.3960874933,2840.79,0.166792174976,0.0,BUY,236910.938182,0.0126835333657,2.36910938182,0.0126835424086,1.30176614199
2008-08-04,231269.860032,83.3960874933,2773.15,0.166792174976,0.0,BUY,231270.026824,-0.0238102613637,2.31270026824,-0.0238102781269,1.35817525557
2008-08-05,225426.296182,83.3960874933,2703.08,0.166792174976,0.0,BUY,225426.462974,-0.0252672770912,2.25426462974,-0.025267295314,1.41661089407
2008-08-06,0.0,0.0,2721.69,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,0.00688473889045,1.41661089407
2008-08-07,0.0,0.0,2720.44,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,-0.000459273466119,1.41661089407
2008-08-08,0.0,0.0,2591.46,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,-0.0474114481481,1.41661089407
2008-08-11,0.0,0.0,2456.81,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,-0.0519591272873,1.41661089407
2008-08-12,0.0,0.0,2444.16,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,-0.00514895331751,1.41661089407
2008-08-13,0.0,0.0,2444.67,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,0.000208660644148,1.41661089407
2008-08-14,0.0,0.0,2443.51,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,-0.000474501670982,1.41661089407
2008-08-15,0.0,0.0,2447.61,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,0.00167791414809,1.41661089407
2008-08-18,0.0,0.0,2313.4,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,-0.0548330820678,1.41661089407
